Full_Date,Date,Month,Year,Open,High,Low,Close,Adj Close,Volume
16-07-20,16,7,20,2971.060059,3032,2918.22998,2999.899902,2999.899902,6394200
17-07-20,17,7,20,3009,3024,2948.449951,2961.969971,2961.969971,4761300
20-07-20,20,7,20,3000.199951,3201.360107,2994.02002,3196.840088,3196.840088,7578900
21-07-20,21,7,20,3232.48999,3240.580078,3105.719971,3138.290039,3138.290039,6135000
22-07-20,22,7,20,3125,3150,3065.26001,3099.909912,3099.909912,4104200
23-07-20,23,7,20,3098.27002,3098.27002,2970,2986.550049,2986.550049,5656900
24-07-20,24,7,20,2930,3031.580078,2888,3008.909912,3008.909912,5632400
27-07-20,27,7,20,3062,3098,3015.77002,3055.209961,3055.209961,4170500
28-07-20,28,7,20,3054.27002,3077.090088,2995.76001,3000.330078,3000.330078,3126700
29-07-20,29,7,20,3030.98999,3039.159912,2996.77002,3033.530029,3033.530029,2974100
30-07-20,30,7,20,3014,3092,3005,3051.879883,3051.879883,6128300
31-07-20,31,7,20,3244,3246.820068,3151,3164.679932,3164.679932,8085500
03-08-20,3,8,20,3180.51001,3184,3104,3111.889893,3111.889893,5074700
04-08-20,4,8,20,3101.209961,3167.23999,3101.209961,3138.830078,3138.830078,4694300
05-08-20,5,8,20,3143.77002,3213.590088,3127.300049,3205.030029,3205.030029,3930000
06-08-20,6,8,20,3194.360107,3247.469971,3165.429932,3225,3225,3940600
07-08-20,7,8,20,3224.01001,3240.810059,3140.669922,3167.459961,3167.459961,3929600
10-08-20,10,8,20,3170.310059,3172.51001,3101.52002,3148.159912,3148.159912,3167300
11-08-20,11,8,20,3113.199951,3159.219971,3073,3080.669922,3080.669922,3718100
12-08-20,12,8,20,3108,3174.389893,3101.419922,3162.23999,3162.23999,3527200
13-08-20,13,8,20,3182.98999,3217.52002,3155,3161.02002,3161.02002,3149000
14-08-20,14,8,20,3178.179932,3178.23999,3120,3148.02002,3148.02002,2751700
17-08-20,17,8,20,3173.120117,3194.969971,3154.179932,3182.409912,3182.409912,2691200
18-08-20,18,8,20,3212,3320,3205.820068,3312.48999,3312.48999,5346000
19-08-20,19,8,20,3303.01001,3315.899902,3256,3260.47998,3260.47998,4185100
20-08-20,20,8,20,3252,3312.620117,3238,3297.370117,3297.370117,3332500
21-08-20,21,8,20,3295,3314.399902,3275.389893,3284.719971,3284.719971,3575900
24-08-20,24,8,20,3310.149902,3380.320068,3257.560059,3307.459961,3307.459961,4666300
25-08-20,25,8,20,3294.98999,3357.399902,3267,3346.48999,3346.48999,3992800
26-08-20,26,8,20,3351.110107,3451.73999,3344.570068,3441.850098,3441.850098,6508700
27-08-20,27,8,20,3450.050049,3453,3378,3400,3400,4264800
28-08-20,28,8,20,3423,3433.370117,3386.5,3401.800049,3401.800049,2897000
31-08-20,31,8,20,3408.98999,3495,3405,3450.959961,3450.959961,4185900
01-09-20,1,9,20,3489.580078,3513.870117,3467,3499.120117,3499.120117,3476400
02-09-20,2,9,20,3547,3552.25,3486.689941,3531.449951,3531.449951,3931500
03-09-20,3,9,20,3485,3488.409912,3303,3368,3368,8161100
04-09-20,4,9,20,3318,3381.5,3111.129883,3294.620117,3294.620117,8781800
08-09-20,8,9,20,3144,3250.850098,3130,3149.840088,3149.840088,6094200
09-09-20,9,9,20,3202.98999,3303.179932,3185,3268.610107,3268.610107,5188700
10-09-20,10,9,20,3307.219971,3349.889893,3170.550049,3175.110107,3175.110107,5330700
11-09-20,11,9,20,3208.689941,3217.340088,3083.97998,3116.219971,3116.219971,5094000
14-09-20,14,9,20,3172.939941,3187.389893,3096,3102.969971,3102.969971,4529600
15-09-20,15,9,20,3136.159912,3175.02002,3108.919922,3156.129883,3156.129883,4021500
16-09-20,16,9,20,3179.98999,3187.23999,3074.149902,3078.100098,3078.100098,4512200
17-09-20,17,9,20,3009.25,3029.429932,2972.550049,3008.72998,3008.72998,6449100
18-09-20,18,9,20,3031.73999,3037.800049,2905.540039,2954.909912,2954.909912,8892600
21-09-20,21,9,20,2906.5,2962,2871,2960.469971,2960.469971,6117900
22-09-20,22,9,20,3033.840088,3133.98999,3000.199951,3128.98999,3128.98999,6948800
23-09-20,23,9,20,3120.429932,3127,2992.379883,2999.860107,2999.860107,5652700
24-09-20,24,9,20,2977.790039,3069.300049,2965,3019.790039,3019.790039,5529400
25-09-20,25,9,20,3054.860107,3101.540039,2999,3095.129883,3095.129883,4615200
28-09-20,28,9,20,3148.850098,3175.040039,3117.169922,3174.050049,3174.050049,4224200
29-09-20,29,9,20,3175.389893,3188.26001,3132.540039,3144.879883,3144.879883,3495800
30-09-20,30,9,20,3141.139893,3212.879883,3133.98999,3148.72998,3148.72998,4883400
01-10-20,1,10,20,3208,3224,3172,3221.26001,3221.26001,4971900
02-10-20,2,10,20,3153.629883,3195.800049,3123,3125,3125,5613100
05-10-20,5,10,20,3145.840088,3202.530029,3140.850098,3199.199951,3199.199951,3775300
06-10-20,6,10,20,3165,3182,3090,3099.959961,3099.959961,5086900
07-10-20,7,10,20,3135,3200,3132.389893,3195.689941,3195.689941,4309400
08-10-20,8,10,20,3224.98999,3233.290039,3174.98999,3190.550049,3190.550049,3174100
09-10-20,9,10,20,3210,3288.98999,3197.830078,3286.649902,3286.649902,4907900
12-10-20,12,10,20,3349.939941,3496.23999,3339.550049,3442.929932,3442.929932,8364200
13-10-20,13,10,20,3467.98999,3492.379883,3424.219971,3443.629883,3443.629883,5744700
14-10-20,14,10,20,3447,3464.879883,3340,3363.709961,3363.709961,5828900
15-10-20,15,10,20,3292.01001,3355.879883,3280,3338.649902,3338.649902,5223400
16-10-20,16,10,20,3363.22998,3399.659912,3160,3272.709961,3272.709961,6474400
19-10-20,19,10,20,3299.610107,3329,3192.73999,3207.209961,3207.209961,5223600
20-10-20,20,10,20,3222.280029,3266,3192.01001,3217.01001,3217.01001,4509700
21-10-20,21,10,20,3212.5,3233.879883,3160,3184.939941,3184.939941,4592700
22-10-20,22,10,20,3189.870117,3198.75,3121.939941,3176.399902,3176.399902,4212000
23-10-20,23,10,20,3191,3205.330078,3140,3204.399902,3204.399902,3466700
26-10-20,26,10,20,3198.73999,3282.97998,3153.300049,3207.040039,3207.040039,5901200
27-10-20,27,10,20,3224.939941,3291.659912,3211.300049,3286.330078,3286.330078,4291000
28-10-20,28,10,20,3249.300049,3264.02002,3162.469971,3162.780029,3162.780029,5588300
